Indicator,,,,,,,,,,,,
Year,,2014,2014,,,,,,,,,
Gender,,2014,Total,,,,,,,,,
International students exclusion,,2014,"World (all entities, including reference area, including IO)",,,,,Excluding mobile students,,,,
Education level and programe orientation,,2014,Short-cycle tertiary education (ISCED2011 level 5),Bachelor・s or equivalent level (ISCED2011 level 6),Master・s or equivalent level (ISCED2011 level 7),Doctoral or equivalent level  (ISCED2011 level 8),Total tertiary education (ISCED2011 levels 5 to 8),Short-cycle tertiary education (ISCED2011 level 5),Bachelor・s or equivalent level (ISCED2011 level 6),Master・s or equivalent level (ISCED2011 level 7),Doctoral or equivalent level  (ISCED2011 level 8),Total tertiary education (ISCED2011 levels 5 to 8)
Country,Age,2014,,,,,,,,,,
Australia,Total: All age groups,2014,19.8,60.7,19.3,2.5,75.2,,,,,
Australia,Less than 30,2014,11.6,50.2,,,62.9,16.8,43.9,8.5,1.5,44.8
Australia,Less than 35,2014,,,15.3,1.3,,8.7,35.2,,,37
Canada,Total: All age groups,2014,21.7,38.6,12.4,1.5,,,,9,0.5,
Canada,Less than 30,2014,17.4,34.7,,,,18,35.5,10.3,1.2,
Canada,Less than 35,2014,,,9.3,0.9,,14.1,31.7,,,
Denmark,Total: All age groups,2014,11.8,53.7,26.4,3.2,64.3,,,20.8,1,
Denmark,Less than 30,2014,9.4,45,,,54.1,9.8,49.8,21.7,2.1,55.9
Denmark,Less than 35,2014,,,23.9,2.3,,7.7,41.7,,,46.9
France,Total: All age groups,2014,,,,,,,,16.3,0.9,
France,Less than 30,2014,,,,,,,,,,
France,Less than 35,2014,,,,,,,,,,
Germany,Total: All age groups,2014,0,30.2,17.1,2.8,37.8,,,,,
Germany,Less than 30,2014,,21.7,,,27.8,0,29.2,15.2,2.3,36.5
Germany,Less than 35,2014,,,16.1,2.3,,0,21,,,26.9
Israel,Total: All age groups,2014,,43.5,19.5,1.5,,,,,,
Israel,Less than 30,2014,,31.9,,,,,42.3,18.8,1.4,
Israel,Less than 35,2014,,,11.2,0.6,,,31.3,,,
Japan,Total: All age groups,2014,24.4,45.2,8.3,1.2,71.1,,,,,
Japan,Less than 30,2014,,,,,,23.5,44.1,7.5,1,68.3
Japan,Less than 35,2014,,,,,,,,,,
Netherlands,Total: All age groups,2014,0.7,41.9,17.8,2.2,46.1,,,,,
Netherlands,Less than 30,2014,0.5,39.4,,,42.7,0.7,37.9,14.1,1.3,39.4
Netherlands,Less than 35,2014,,,16.8,1.9,,0.5,35.7,,,36.7
South Korea,Total: All age groups,2014,,,,1.6,,,,,,
South Korea,Less than 30,2014,,,,,,,,,,
South Korea,Less than 35,2014,,,,0.6,,,,,,
Sweden,Total: All age groups,2014,6.2,26.8,19.8,2.4,41.1,,,17,,
Sweden,Less than 30,2014,4.1,19.3,,,30,6.2,26.1,15.6,1.6,36.5
Sweden,Less than 35,2014,,,16.1,1.4,,4.1,18.8,,,26.5
Switzerland,Total: All age groups,2014,1.8,47.7,17.1,3.4,49.6,,,12.3,0.8,
Switzerland,Less than 30,2014,1.4,37,,,38.5,1.8,44.4,13,1.5,46.3
Switzerland,Less than 35,2014,,,15.3,2.7,,1.4,34,,,35.4
United Kingdom,Total: All age groups,2014,4.5,49.9,26.4,2.9,47.7,,,2.9,0.2,
United Kingdom,Less than 30,2014,2.8,45,,,42.9,4.2,42.3,14.2,1.6,41.7
United Kingdom,Less than 35,2014,,,20.7,2,,2.6,37.6,,,37.2
USA,Total: All age groups,2014,22.4,38.2,20,1.6,54.2,,,9.5,1.1,
USA,Less than 30,2014,,,,,,22,36.9,17.6,1.1,52.7
USA,Less than 35,2014,,,,,,,,,,
